                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.41312,                0.42358,                0.94576,                0.79326,                0.92018,                  0.936,                0.79655,                0.52088,                0.54928,                 1.0669,             0.00038163,             0.00038163,             0.00038163
                     62,                0.40447,                0.42876,                0.93654,                0.87403,                 0.9299,                0.95528,                0.81847,                0.54097,                0.47401,                 1.0844,              0.0003775,              0.0003775,              0.0003775
                     63,                0.39367,                0.40397,                0.94223,                0.92529,                0.82682,                0.90776,                0.79585,                0.55114,                0.53365,                 1.1125,             0.00037337,             0.00037337,             0.00037337
                     64,                0.38674,                 0.3959,                 0.9245,                0.94139,                0.89533,                0.96993,                0.87722,                0.53814,                0.41804,                 1.1171,             0.00036925,             0.00036925,             0.00036925
                     65,                0.39663,                0.39777,                0.94748,                0.92407,                0.90247,                0.94205,                0.83008,                0.54774,                0.50531,                 1.1052,             0.00036513,             0.00036513,             0.00036513
                     66,                0.37848,                0.37954,                0.93749,                0.95224,                 0.8804,                0.94565,                0.84137,                0.51769,                0.57359,                 1.0707,               0.000361,               0.000361,               0.000361
                     67,                0.39353,                0.40689,                0.92889,                0.91326,                0.90191,                 0.9406,                0.83899,                0.50585,                0.53563,                 1.0485,             0.00035687,             0.00035687,             0.00035687
                     68,                0.39146,                0.37451,                0.93356,                0.93525,                0.85728,                0.94504,                0.79583,                0.55203,                0.59018,                 1.0777,             0.00035275,             0.00035275,             0.00035275
                     69,                0.39855,                0.39184,                0.93762,                0.80802,                  0.898,                0.93312,                0.84581,                0.52967,                0.57965,                 1.0534,             0.00034862,             0.00034862,             0.00034862
                     70,                0.39471,                0.41835,                0.94457,                0.87883,                0.85289,                0.89203,                0.80729,                0.50117,                0.54728,                 1.0238,              0.0003445,              0.0003445,              0.0003445
                     71,                0.38449,                0.38464,                0.93354,                0.88518,                0.91304,                0.93593,                0.83882,                0.52855,                 0.4729,                 1.0391,             0.00034038,             0.00034038,             0.00034038
                     72,                0.38005,                0.37399,                0.93084,                 0.9647,                0.89242,                0.94625,                 0.8321,                0.51806,                0.44848,                  1.044,             0.00033625,             0.00033625,             0.00033625
                     73,                0.38395,                0.36645,                0.92577,                0.89523,                0.87865,                0.94278,                0.81869,                0.51019,                0.46271,                  1.039,             0.00033213,             0.00033213,             0.00033213
                     74,                 0.3893,                0.37225,                 0.9297,                0.90433,                0.89045,                0.93476,                0.78238,                0.51023,                0.50525,                 1.0268,               0.000328,               0.000328,               0.000328
                     75,                0.38596,                0.37123,                0.92816,                0.89801,                0.83716,                 0.9367,                0.82946,                0.47769,                0.47397,                  1.009,             0.00032387,             0.00032387,             0.00032387
                     76,                0.37561,                0.35709,                0.93374,                0.82807,                0.87637,                0.92575,                 0.8434,                0.44654,                0.44108,                0.99218,             0.00031975,             0.00031975,             0.00031975
                     77,                0.37956,                0.35863,                0.92609,                0.90432,                0.89767,                0.92175,                0.82571,                0.48362,                 0.5068,                 1.0346,             0.00031562,             0.00031562,             0.00031562
                     78,                0.36757,                0.34548,                0.92156,                0.88493,                0.90551,                 0.9307,                0.84032,                0.49944,                0.49275,                 1.0502,              0.0003115,              0.0003115,              0.0003115
                     79,                0.37661,                0.34777,                0.92719,                 0.8432,                0.90828,                0.94154,                0.76917,                0.52298,                0.48453,                 1.0432,             0.00030738,             0.00030738,             0.00030738
                     80,                0.37884,                 0.3569,                0.92526,                0.91372,                0.91219,                0.94002,                0.85596,                0.43283,                0.43039,                0.95986,             0.00030325,             0.00030325,             0.00030325
                     81,                0.35954,                0.35888,                0.91972,                 0.9572,                0.83207,                0.91953,                0.86071,                0.42397,                0.47743,                0.93998,             0.00029913,             0.00029913,             0.00029913
                     82,                0.38059,                0.37796,                0.93096,                0.91752,                0.87978,                0.91681,                0.83755,                0.47162,                 0.5734,                0.99349,               0.000295,               0.000295,               0.000295
                     83,                 0.3827,                0.36649,                0.93549,                0.92731,                0.90154,                0.93989,                0.84001,                0.50872,                0.55662,                 1.0371,             0.00029088,             0.00029088,             0.00029088
                     84,                0.35913,                0.35047,                0.92273,                 0.8968,                0.91466,                0.94105,                0.87566,                0.46454,                0.52076,                0.98949,             0.00028675,             0.00028675,             0.00028675
                     85,                0.38178,                0.34436,                0.93005,                0.94317,                0.90084,                0.94025,                0.85658,                0.44386,                0.47929,                0.98111,             0.00028262,             0.00028262,             0.00028262
                     86,                0.35286,                 0.3404,                0.92515,                0.92465,                0.90616,                 0.9333,                0.82737,                0.45725,                0.44554,                0.98103,              0.0002785,              0.0002785,              0.0002785
                     87,                0.35819,                0.35098,                 0.9172,                0.88851,                0.92785,                0.92642,                0.83483,                0.47833,                  0.441,                 1.0026,             0.00027437,             0.00027437,             0.00027437
                     88,                0.36993,                0.36024,                0.91911,                0.89919,                 0.9046,                0.93611,                0.85693,                 0.4725,                0.51733,                 1.0046,             0.00027025,             0.00027025,             0.00027025
                     89,                0.34934,                0.32728,                 0.9164,                0.89115,                0.91319,                0.94051,                0.85086,                0.47025,                0.50172,                 1.0244,             0.00026613,             0.00026613,             0.00026613
                     90,                0.35177,                0.32253,                0.91518,                0.91832,                0.90303,                0.93557,                0.83507,                0.47432,                0.51554,                  1.001,               0.000262,               0.000262,               0.000262
                     91,                0.36888,                0.34609,                0.92971,                0.87429,                0.91244,                0.94187,                0.84642,                0.45743,                0.38765,                0.98559,             0.00025787,             0.00025787,             0.00025787
                     92,                0.34836,                0.32505,                0.91606,                0.95849,                0.87682,                0.95252,                0.86878,                0.45516,                0.37943,                 0.9786,             0.00025375,             0.00025375,             0.00025375
                     93,                0.33957,                0.31664,                0.91153,                 0.9561,                0.88066,                 0.9439,                0.85738,                0.45591,                0.44953,                0.98517,             0.00024963,             0.00024963,             0.00024963
                     94,                0.34437,                0.31699,                0.90917,                0.95453,                0.89168,                0.94229,                0.86372,                0.48137,                0.42004,                 1.0016,              0.0002455,              0.0002455,              0.0002455
